NWFSCsampleID,Plate
52193-732,2.5
52193-766,2.5
52193-774,2.5
52193-799,2.5
52193-80,2.5
52193-813,2.5
52193-815,2.5
52193-866,2.5
52193-868,2.5
52193-872,2.5
52193-88,2.5
52193-888,2.5
52193-896,2.5
52193-92,2.5
52193-953,2.5
52193-12,2.6
52193-132,2.6
52193-135,2.6
52193-162,2.6
52193-163,2.6
52193-17,2.6
52193-174,2.6
52193-175,2.6
52193-186,2.6
52193-187,2.6
52193-199,2.6
52193-213,2.6
52193-222,2.6
52193-225,2.6
52193-226,2.6
52193-238,2.6
52193-247,2.6
52193-248,2.6
52193-250,2.6
52193-262,2.6
52193-28,2.6
52193-29,2.6
52193-296,2.6
52193-297,2.6
52193-30,2.6
52193-31,2.6
52193-319,2.6
52193-320,2.6
52193-321,2.6
52193-345,2.6
52193-356,2.6
52193-357,2.6
52193-362,2.6
52193-363,2.6
52193-368,2.6
52193-369,2.6
52193-382,2.6
52193-402,2.6
52193-403,2.6
52193-417,2.6
52193-418,2.6
52193-453,2.6
52193-454,2.6
52193-460,2.6
52193-461,2.6
52193-93,2.6
52193-94,2.6
52193-1395,2.0A
52193-1397,2.0A
52193-1403,2.0A
52193-1409,2.0A
52193-1423,2.0A
52193-1433,2.0A
52193-1436,2.0A
52193-1445,2.0A
52193-1447,2.0A
52193-1457,2.0A
52193-1460,2.0A
52193-1470,2.0A
52193-1472,2.0A
52193-1482,2.0A
52193-1485,2.0A
52193-1495,2.0A
52193-1510,2.0A
52193-1517,2.0A
52193-1519,2.0A
52193-1525,2.0A
52193-1528,2.0A
52193-1530,2.0A
52193-1536,2.0A
52193-1538,2.0A
52193-1542,2.0A
52193-1547,2.0A
52193-1561,2.0A
52193-1571,2.0A
52193-1573,2.0A
52193-1583,2.0A
52193-1585,2.0A
52193-1595,2.0A
52193-1598,2.0A
52193-1607,2.0A
52193-1611,2.0A
52193-1621,2.0A
52193-1623,2.0A
52193-1633,2.0A
52193-1647,2.0A
52193-1653,2.0A
52193-1655,2.0A
52193-1657,2.0A
52193-1662,2.0A
52193-1664,2.0A
52193-1671,2.0A
52193-1678,2.0A
52193-1680,2.0A
52193-1690,2.0A
52193-1694,2.0A
52193-1704,2.0A
52193-1706,2.0A
52193-1716,2.0A
52193-1721,2.0A
52193-1725,2.0A
52193-1728,2.0A
52193-1733,2.0A
52193-1746,2.0A
52193-1755,2.0A
52193-1757,2.0A
52193-1767,2.0A
52193-1769,2.0A
52193-1779,2.0A
52193-1782,2.0A
52193-1792,2.0A
52193-1794,2.0A
52193-1804,2.0A
52193-1806,2.0A
52193-1816,2.0A
52193-1828,2.0A
52193-1834,2.0A
52193-1836,2.0A
52193-1840,2.0A
52193-1843,2.0A
52193-1853,2.0A
52193-1867,2.0A
52193-1877,2.0A
52193-1879,2.0A
52193-1887,2.0A
52193-1892,2.0A
52193-1898,2.0A
52193-1904,2.0A
52193-1908,2.0A
